receiver,positionX,positionY,positionZ,speedX,speedY,speedZ,headingX,headingY,headingZ,distance,sender,senderPosX,senderPosY,senderPosZ,senderSpeed,senderSpeedX,senderSpeedY,senderSpeedZ,senderHeadingX,senderHeadingY,senderHeadingZ,senderAccel,senderGPSPosX,senderGPSPosY,senderGPSPosZ,attackType,senderType,senderDistTraveled,isRSU,RSS,arrivalTime
34,1452.337688,555.634900,0.000000,0.000100,-0.000127,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,13.778370,-7.066336,-11.828372,0.000000,-0.512857,-0.858474,0.000000,1.99667,-48.051629,-15.828721,0.000000,2,1,0,0,-73.0191,27.529
28,1455.676220,495.221153,0.000000,-8.805696,-13.421321,0.000000,-0.548567,-0.836106,0.000000,60.5058,34,1452.337759,555.634809,0.000000,0.000119,0.000073,-0.000093,0.000000,0.618659,-0.785659,0.000000,-4.30076e-05,-48.038484,-15.833108,0.000000,0,0,0.000115477,0,-74.3412,28.0203
34,1452.337759,555.634809,0.000000,0.000073,-0.000093,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,16.052169,-8.805696,-13.421321,0.000000,-0.548567,-0.836106,0.000000,2.2738,-48.051629,-15.828721,0.000000,2,1,0,0,-75.4544,28.529
28,1445.204101,483.226375,0.000000,-12.024075,-11.433234,0.000000,-0.724687,-0.689078,0.000000,72.759,34,1452.337759,555.634809,0.000000,0.000000,0.000000,-0.000000,0.000000,0.618659,-0.785659,0.000000,-0.000118747,-48.038484,-15.833108,0.000000,0,0,0,0,-75.7457,29.0203
40,3429.665674,1285.823586,0.000000,-2.943526,-6.964358,0.000000,-0.389311,-0.921106,0.000000,479.393,16,3230.000000,850.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0,1,-91.5897,29.2364
34,1452.337759,555.634809,0.000000,0.000000,-0.000000,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,16.592083,-12.024075,-11.433234,0.000000,-0.724687,-0.689078,0.000000,0.539914,-48.051629,-15.828721,0.000000,2,1,0,0,-76.7695,29.529
28,1432.043260,471.743187,0.000000,-15.949166,-6.998046,0.000000,-0.915729,-0.401796,0.000000,85.1861,34,1453.495632,554.183850,0.000000,1.925936,1.195256,-1.510163,0.000000,0.620610,-0.784119,0.000000,1.92594,-48.038484,-15.833108,0.000000,0,0,1.85633,0,-77.0322,30.0203
70,652.919546,1504.932280,0.000000,1.748975,-7.622180,0.000000,0.223647,-0.974670,0.000000,431.175,94,850.940940,1887.945681,0.000000,15.534773,-5.377766,-14.574251,0.000000,-0.346176,-0.938170,0.000000,0,0.000000,0.000000,0.000000,0,0,0,0,-90.3048,30.2156
94,850.940940,1887.945681,0.000000,-5.377766,-14.574251,0.000000,-0.346176,-0.938170,0.000000,431.175,70,652.919546,1504.932280,0.000000,7.820265,1.748975,-7.622180,0.000000,0.223647,-0.974670,0.000000,2.34937,-48.045832,-15.841851,0.000000,0,0,0,0,-90.2909,30.2902
34,1453.495632,554.183850,0.000000,1.195256,-1.510163,0.000000,0.620610,-0.784119,0.000000,1491.31,28,50.000000,50.000000,0.000000,17.416903,-15.949166,-6.998046,0.000000,-0.915729,-0.401796,0.000000,0.82482,-48.051629,-15.828721,0.000000,2,1,0,0,-77.5981,30.529
28,1415.718113,467.121087,0.000000,-16.828076,-1.897338,0.000000,-0.993704,-0.112038,0.000000,93.326,34,1455.716754,551.440989,0.000000,3.697289,2.323762,-2.875773,0.000000,0.628504,-0.777806,0.000000,1.77135,-48.038474,-15.833095,0.000000,0,0,3.5294,0,-77.9763,31.0203
70,655.107783,1495.395757,0.000000,2.197281,-9.575935,0.000000,0.223647,-0.974670,0.000000,424.474,94,845.990479,1874.529467,0.000000,14.271620,-4.940493,-13.389200,0.000000,-0.346176,-0.938170,0.000000,-1.26315,-48.043918,-15.845214,0.000000,0,0,14.3004,0,-90.2007,31.2156
94,845.990479,1874.529467,0.000000,-4.940493,-13.389200,0.000000,-0.346176,-0.938170,0.000000,424.474,70,655.107783,1495.395757,0.000000,9.824794,2.197281,-9.575935,0.000000,0.223647,-0.974670,0.000000,2.00453,-48.045815,-15.841781,0.000000,0,0,9.78436,0,-90.1924,31.2902
34,1455.716754,551.440989,0.000000,2.323762,-2.875773,0.000000,0.628504,-0.777806,0.000000,1492.48,28,50.000000,50.000000,0.000000,16.934699,-16.828076,-1.897338,0.000000,-0.993704,-0.112038,0.000000,-0.482204,-48.051629,-15.828721,0.000000,2,1,0,0,-78.1405,31.529
58,3572.283606,1475.578686,0.000000,11.852002,-4.968003,0.000000,0.922255,-0.386582,0.000000,252.387,40,3423.653098,1271.597881,0.000000,7.587384,-2.953851,-6.988788,0.000000,-0.389311,-0.921106,0.000000,-0.285097,-48.019976,-15.839383,0.000000,0,0,35.9767,0,-86.5312,31.679
28,1396.991825,468.708076,0.000000,-15.928459,2.844709,0.000000,-0.984424,0.175811,0.000000,99.6941,34,1458.336931,547.293699,0.000000,5.170299,2.743995,-4.382064,0.000000,0.530723,-0.847546,0.000000,1.47301,-48.038453,-15.833070,0.000000,0,0,4.90564,0,-78.5275,32.0203
70,657.744873,1483.903098,0.000000,2.647988,-11.540155,0.000000,0.223647,-0.974670,0.000000,418.714,94,840.272627,1860.738203,0.000000,14.905755,-5.998226,-13.645615,0.000000,-0.402410,-0.915460,0.000000,0.634135,-48.043966,-15.845093,0.000000,0,0,14.9296,0,-90.1108,32.2156
94,840.272627,1860.738203,0.000000,-5.998226,-13.645615,0.000000,-0.402410,-0.915460,0.000000,418.714,70,657.744873,1483.903098,0.000000,11.840060,2.647988,-11.540155,0.000000,0.223647,-0.974670,0.000000,2.01527,-48.045796,-15.841694,0.000000,0,0,11.7913,0,-90.106,32.2902
34,1458.336931,547.293699,0.000000,2.743995,-4.382064,0.000000,0.530723,-0.847546,0.000000,1493.56,28,50.000000,50.000000,0.000000,16.180488,-15.928459,2.844709,0.000000,-0.984424,0.175811,0.000000,-0.754212,-48.051629,-15.828721,0.000000,2,1,0,0,-78.5633,32.529
40,3420.571636,1264.307166,0.000000,-3.084598,-7.298134,0.000000,-0.389311,-0.921106,0.000000,263.115,58,3583.424269,1470.967296,0.000000,11.872121,10.996918,-4.473819,0.000000,0.926281,-0.376834,0.000000,-0.978989,-48.018591,-15.841143,0.000000,0,0,74.998,0,-87.0133,32.5653
